step,ts,scenario,seed,endpoint,ttft_p50_ms,ttft_p99_ms,itl_p50_ms,itl_p99_ms,dec_tok_s_per_stream,out_throughput_total,total_throughput,duration_s,preempt_delta,gen_tok_delta,mtp_accept,mean_power_W,wh_per_1k_out,warm
B1,20260914-231732,C2,42,:8000,,,,,n/a,,,12,0,0,n/a,9,n/a,0
B1,20260914-232944,C2,43,:8000,,,,,n/a,,,251,0,7813,0.372,32,0.29,0
B1,20260914-233410,C2,43,:8000,,,,,n/a,,,203,0,4096,0.357,33,0.45,0
B1,20260914-233746,C2,43,:8000,,,,,n/a,,,191,0,4096,0.387,34,0.44,0
B1,20260914-234112,C2,43,:8000,,,,,n/a,,,189,0,4096,0.390,35,0.45,0
B1,20260914-234433,C2,43,:8000,,,,,n/a,,,189,0,4096,0.413,34,0.44,0
B1,20260914-234817,C2,43,:8000,,,,,n/a,,,185,0,4096,0.416,34,0.43,0
B1,20260914-234845,C2,43,:8000,831.1472680002225,866.8554608299564,91.14991499973257,99.4502958400335,24.4,24.3962321850942,75.66643888658122,181,0,4096,0.438,34,0.42,0
B1,20260914-235346,C1,42,:8000,42733.53338400011,59718.755714030114,94.83842400004505,120.81978480003272,7.7,7.701034658476512,501.3569096751335,551,0,4096,0.349,33,1.23,0
B1,20260915-000257,C1,43,:8000,48478.62049949981,53032.60921720925,93.969685999582,119.5914854399962,7.1,7.110821716012327,462.9256043713338,597,0,4096,0.348,31,1.26,0
B1,20260915-001255,C2,42,:8000,1954.0970954999466,2432.4511113995504,93.96732899949711,121.30862744004845,21.4,21.416957899583956,66.44694848337717,206,0,4096,0.402,32,0.45,0
B1,20260915-001622,C2,43,:8000,1824.9765794998893,2070.269946299977,92.790303500351,124.78367927973528,21.1,21.07701584182074,65.37168194689714,209,0,4096,0.380,32,0.45,0
